id,proc_cd,modifier,proc_desc,category,subcategory
1,Q9967,,,ancillary,
2,Q9966,,,ancillary,
3,A4550,,,ancillary,
4,A9578,,,ancillary,
5,A9575,,,ancillary,
6,74181,,MRI ABDOMEN W/O DYE,MRI w/o,Abdomen/Pelvis
7,70551,,MRI BRAIN STEM W/O DYE,MRI w/o,Brain
8,72141,,MRI NECK SPINE W/O DYE,MRI w/o,Spine
9,71550,,MRI CHEST W/O DYE,MRI w/o,Chest
10,73721,,MRI JNT OF LWR EXTRE W/O DYE,MRI w/o,Lower Extremity
11,73718,,MRI LOWER EXTREMITY W/O DYE,MRI w/o,Lower Extremity
12,72148,,MRI LUMBAR SPINE W/O DYE,MRI w/o,Spine
13,70540,,MRI ORBIT/FACE/NECK W/O DYE,MRI w/o,Eye/Orbit
14,72195,,MRI PELVIS W/O DYE,MRI w/o,Abdomen/Pelvis
15,72146,,MRI CHEST SPINE W/O DYE,MRI w/o,Chest
16,73221,,MRI JOINT UPR EXTREM W/O DYE,MRI w/o,Upper Extremity
17,73218,,MRI UPPER EXTREMITY W/O DYE,MRI w/o,Upper Extremity
18,74182,,MRI ABDOMEN W/DYE,MRI w/,Abdomen/Pelvis
19,70552,,MRI BRAIN STEM W/DYE,MRI w/,Brain
20,72142,,MRI NECK SPINE W/DYE,MRI w/,Spine
21,71551,,MRI CHEST W/DYE,MRI w/,Chest
22,73722,,MRI JOINT OF LWR EXTR W/DYE,MRI w/,Lower Extremity
23,73719,,MRI LOWER EXTREMITY W/DYE,MRI w/,Lower Extremity
24,72149,,MRI LUMBAR SPINE W/DYE,MRI w/,Spine
25,70542,,MRI ORBIT/FACE/NECK W/DYE,MRI w/,Eye/Orbit
26,72196,,MRI PELVIS W/DYE,MRI w/,Abdomen/Pelvis
27,72147,,MRI CHEST SPINE W/DYE,MRI w/,Chest
28,73222,,MRI JOINT UPR EXTREM W/DYE,MRI w/,Upper Extremity
29,73219,,MRI UPPER EXTREMITY W/DYE,MRI w/,Upper Extremity
30,74183,,MRI ABDOMEN W/O & W/DYE,MRI w/&w/o,Abdomen/Pelvis
31,70553,,MRI BRAIN STEM W/O & W/DYE,MRI w/&w/o,Brain
32,72156,,MRI NECK SPINE W/O & W/DYE,MRI w/&w/o,Spine
33,71552,,MRI CHEST W/O & W/DYE,MRI w/&w/o,Chest
34,73723,,MRI JOINT LWR EXTR W/O&W/DYE,MRI w/,Lower Extremity
35,73720,,MRI LWR EXTREMITY W/O&W/DYE,MRI w/,Lower Extremity
36,72158,,MRI LUMBAR SPINE W/O & W/DYE,MRI w/&w/o,Spine
37,70543,,MRI ORBT/FAC/NCK W/O &W/DYE,MRI w/,Eye/Orbit
38,72197,,MRI PELVIS W/O & W/DYE,MRI w/&w/o,Abdomen/Pelvis
39,72157,,MRI CHEST SPINE W/O & W/DYE,MRI w/&w/o,Chest
40,73223,,MRI JOINT UPR EXTR W/O&W/DYE,MRI w/,Upper Extremity
41,73220,,MRI UPPR EXTREMITY W/O&W/DYE,MRI w/,Upper Extremity
